ORIGIN_MUNICIPIO,ORIGIN_COMUNA,ORIGIN_TIME,o_lat,o_long,DESTINATION_MUNICIPIO,DESTINATION_COMUNA,DESTINATION_TIME,d_lat,d_long,TRANSPORT_MODE_S1,TRIP_PURPOSE,ORIGIN_CLUSTER,DESTINATION_CLUSTER
Medellin,San Javier,06:00:00,6.24792067,-75.61968688,Medellin,Castilla,06:40:00,6.284828747,-75.56770171,Moto (Acompa?±ante),Trabajo,0,0
Medellin,Castilla,17:00:00,6.273925607,-75.571892,Medellin,San Javier,17:30:00,6.254090373,-75.63060696,Moto (Acompa?±ante),Casa,0,0
Medellin,San Javier,06:00:00,6.272392131,-75.59963556,Medellin,La Candelaria,06:30:00,6.249944472,-75.57788458,Moto (Conductor),Trabajo,0,0
Medellin,La Candelaria,18:30:00,6.239194362,-75.57515757,Medellin,San Javier,19:00:00,6.258505235,-75.61326267,Moto (Conductor),Casa,0,0
Medellin,San Javier,06:00:00,6.246742761,-75.6369601,Medellin,La Candelaria,06:30:00,6.255478528,-75.57288221,Moto (Acompa?±ante),Salud,-1,200
Medellin,San Javier,07:30:00,6.27273125,-75.59671726,Medellin,El Poblado,07:55:00,6.218563947,-75.57719362,Moto (Conductor),Trabajo,0,0
Medellin,La Candelaria,10:00:00,6.250191467,-75.56669215,Medellin,Guayabal,10:15:00,6.214172849,-75.58141399,Moto (Conductor),Trabajo,0,0
Medellin,Guayabal,10:30:00,6.215328028,-75.58333267,Medellin,La Candelaria,10:45:00,6.264525981,-75.56924935,Moto (Conductor),Trabajo,0,0
Medellin,La Candelaria,11:00:00,6.237254374,-75.5647186,Medellin,Laureles-Estadio,11:15:00,6.253713319,-75.57866025,Moto (Conductor),Trabajo,104,0
Medellin,Laureles-Estadio,11:30:00,6.240890141,-75.58205284,Medellin,San Javier,11:55:00,6.253585833,-75.63046912,Moto (Conductor),Casa,0,0
Medellin,San Javier,13:30:00,6.262940239,-75.61526501,Medellin,El Poblado,14:00:00,6.208107334,-75.56287325,Moto (Conductor),Trabajo,0,1
Medellin,El Poblado,14:45:00,6.203904816,-75.56951666,Medellin,La Candelaria,15:00:00,6.243301957,-75.5669923,Moto (Conductor),Trabajo,-1,201
Medellin,La Candelaria,15:15:00,6.230604545,-75.56725956,Medellin,La Candelaria,15:25:00,6.249378157,-75.56577952,Moto (Conductor),Trabajo,103,205
Medellin,La Candelaria,15:40:00,6.253496538,-75.56489271,Medellin,Laureles-Estadio,15:52:00,6.256396887,-75.58394328,Moto (Conductor),Trabajo,101,0
Medellin,Laureles-Estadio,16:00:00,6.250263205,-75.59291055,Medellin,San Javier,16:40:00,6.261022936,-75.61089393,Moto (Conductor),Casa,0,0
Medellin,La Candelaria,07:45:00,6.251989359,-75.56196727,Medellin,Robledo,08:00:00,6.261539721,-75.57815633,Moto (Conductor),Estudio,102,0
Medellin,Robledo,13:45:00,6.284998847,-75.58595792,Medellin,Aranjuez,14:00:00,6.285653441,-75.56571013,Moto (Conductor),Trabajo,0,0
Medellin,San Javier,10:00:00,6.256484315,-75.62680453,Medellin,Doce de Octubre,10:10:00,6.307970695,-75.57534508,Moto (Conductor),Diligencia,0,0
