,municipio_o,comuna_o,hora_o,municipio_d,comuna_d,hora_d,motivo_viaje,modo_tte,o_long,o_lat,d_long,d_lat
6935,Medellin,Aranjuez,17:00:00,Medellin,Aranjuez,17:10:00,Almuerzo,Moto (Conductor),-75.55486415,6.280317602,-75.56484205,6.269039739
6936,Medellin,Aranjuez,18:00:00,Medellin,Aranjuez,18:10:00,Alguien,Moto (Conductor),-75.55568866,6.274485778,-75.56018797,6.265164247
6937,Medellin,Aranjuez,17:00:00,Medellin,Aranjuez,17:30:00,Compras,Moto (Acompa?帶nte),-75.55602999,6.261536797,-75.56635437,6.284491506
6938,Medellin,Aranjuez,18:00:00,Medellin,Aranjuez,18:10:00,Casa,Moto (Acompa?帶nte),-75.557611,6.278287489,-75.56066911,6.276347674
6939,Medellin,Aranjuez,17:00:00,Medellin,Aranjuez,17:10:00,Alguien,Moto (Acompa?帶nte),-75.55749406,6.288527623,-75.55490325,6.283688607
6940,Medellin,Aranjuez,18:00:00,Medellin,Aranjuez,18:10:00,Casa,Moto (Acompa?帶nte),-75.56615725,6.27971366,-75.55827085,6.285694624
6941,Medellin,Aranjuez,09:40:00,Medellin,Robledo,10:00:00,Estudio,Moto (Conductor),-75.56193917,6.284420893,-75.5898571,6.269033005
6942,Medellin,Robledo,18:00:00,Medellin,Aranjuez,18:20:00,Casa,Moto (Conductor),-75.58867278,6.267203177,-75.56047783,6.281667747
6943,Medellin,Manrique,11:00:00,Medellin,El Poblado,11:30:00,Trabajo,Moto (Conductor),-75.5445189,6.272653213,-75.57183156,6.183221978
6944,Medellin,El Poblado,20:00:00,Medellin,Manrique,20:30:00,Casa,Moto (Conductor),-75.57666373,6.182997081,-75.54498713,6.264342955
6945,Medellin,Manrique,07:00:00,Medellin,Castilla,07:30:00,Trabajo,Moto (Conductor),-75.54889976,6.268661832,-75.56738014,6.305043591
6946,Medellin,Castilla,18:00:00,Medellin,Manrique,18:30:00,Casa,Moto (Conductor),-75.56484371,6.310028253,-75.546916,6.281219599
6947,Medellin,El Poblado,18:00:00,Medellin,Aranjuez,19:00:00,Casa,Moto (Conductor),-75.56944864,6.209282394,-75.56415188,6.264638544
6948,Medellin,Aranjuez,06:40:00,Medellin,La Candelaria,07:00:00,Trabajo,Moto (Acompa?帶nte),-75.56161255,6.270657487,-75.56214599,6.261348645
6949,Medellin,La Candelaria,22:20:00,Medellin,Aranjuez,23:00:00,Casa,Moto (Acompa?帶nte),-75.55963946,6.249300278,-75.5590102,6.281584865
6950,Medellin,Castilla,20:00:00,Itagui,Itagui-Comuna 03,20:45:00,Otro,Moto (Conductor),-75.56840641,6.29033257,-75.61685445,6.195802636
6951,Itagui,Itagui-Comuna 03,22:00:00,Medellin,Castilla,22:30:00,Casa,Moto (Conductor),-75.60424323,6.191676583,-75.56818512,6.291928532
6952,Medellin,Castilla,20:00:00,Itagui,Itagui-Comuna 03,20:45:00,Otro,Moto (Conductor),-75.56039156,6.296154943,-75.609761,6.178110768
6953,Itagui,Itagui-Comuna 03,22:00:00,Medellin,Castilla,22:30:00,Casa,Moto (Conductor),-75.58844124,6.187516623,-75.57090636,6.278030495
6954,Medellin,Castilla,06:20:00,Medellin,San Javier,06:55:00,Trabajo,Moto (Conductor),-75.56898896,6.289423171,-75.61453445,6.264297306
6955,Medellin,San Javier,17:30:00,Medellin,Castilla,18:00:00,Casa,Moto (Conductor),-75.60945201,6.266122988,-75.57578292,6.267226895
6956,Medellin,Manrique,07:00:00,Medellin,Belen,08:00:00,Otro,Moto (Conductor),-75.54594762,6.274466628,-75.59929438,6.228205368
6957,Medellin,Belen,18:00:00,Medellin,Manrique,18:30:00,Casa,Moto (Conductor),-75.60220241,6.214793397,-75.54191325,6.266918575
6958,Medellin,El Poblado,17:10:00,Envigado,Zona 05,17:30:00,Casa,Moto (Acompa?帶nte),-75.57276424,6.222470724,-75.51860196,6.192965186
6959,Medellin,El Poblado,17:10:00,Envigado,Zona 05,17:30:00,Casa,Moto (Acompa?帶nte),-75.55185107,6.199640067,-75.48019244,6.166580085
6960,Medellin,Manrique,05:45:00,Medellin,Laureles-Estadio,06:30:00,Trabajo,Moto (Acompa?帶nte),-75.54465908,6.262534446,-75.59127658,6.255343632
6961,Medellin,Aranjuez,17:15:00,Medellin,Aranjuez,18:00:00,Casa,Moto (Conductor),-75.55856179,6.282735025,-75.56186771,6.267967062
