,comuna_o,municipio_o,comuna_d,municipio_d,hora_o,hora_d,modo_tte,motivo_viaje,o_long,o_lat,d_long,d_lat
575,Rafael Uribe Uribe,Bogotá,Rafael Uribe Uribe,Bogotá,20:04:48,20:10:12,MOTO,Casa,-74.10884409,4.582625228,-74.10664474,4.561585513
576,Engativa,Bogotá,Usaquen,Bogotá,06:04:12,07:00:00,MOTO,Trabajo,-74.08610091,4.681286596,-74.0467038,4.738609089
577,Usaquen,Bogotá,Engativa,Bogotá,17:06:00,18:01:48,MOTO,Casa,-74.04035807,4.705805909,-74.10907914,4.701182428
578,Fontibon,Bogotá,Barrios Unidos,Bogotá,07:45:00,08:30:00,MOTO,Trabajo,-74.13462493,4.688960588,-74.0837788,4.665225321
579,Barrios Unidos,Bogotá,Santa Fe,Bogotá,17:30:00,18:00:00,MOTO,Estudio,-74.06121092,4.673125595,-74.08555661,4.595413934
580,Usaquen,Bogotá,Chapinero,Bogotá,06:00:00,07:15:00,MOTO,Trabajo,-74.04008188,4.691462288,-74.05259731,4.679481125
581,Chapinero,Bogotá,Usaquen,Bogotá,13:48:00,15:03:00,MOTO,Casa,-74.0564194,4.666910272,-74.04853824,4.736396464
582,Ciudad Bolivar,Bogotá,Fontibon,Bogotá,06:00:00,07:19:48,MOTO,Trabajo,-74.16013579,4.565734169,-74.1575279,4.668479066
583,Fontibon,Bogotá,Ciudad Bolivar,Bogotá,18:10:12,19:30:00,MOTO,Casa,-74.10951478,4.658543225,-74.18178602,4.48078717
584,Ciudad Bolivar,Bogotá,Ciudad Bolivar,Bogotá,05:00:00,06:15:00,MOTO,Trabajo,-74.16361912,4.470062844,-74.15801754,4.567411507
585,Ciudad Bolivar,Bogotá,Ciudad Bolivar,Bogotá,17:00:00,18:15:00,MOTO,Casa,-74.19253967,4.403808819,-74.17889632,4.478210425
586,Ciudad Bolivar,Bogotá,Ciudad Bolivar,Bogotá,05:49:48,06:00:00,MOTO,Trabajo,-74.17758731,4.581168969,-74.2055471,4.39817783
587,Ciudad Bolivar,Bogotá,Ciudad Bolivar,Bogotá,16:19:48,16:30:00,MOTO,Casa,-74.15715854,4.472087707,-74.16890166,4.563639038
588,Puente Aranda,Bogotá,Teusaquillo,Bogotá,07:00:00,07:40:12,MOTO,Trabajo,-74.11772165,4.614817826,-74.09133503,4.63278857
589,Teusaquillo,Bogotá,Puente Aranda,Bogotá,18:49:48,19:30:00,MOTO,Casa,-74.10458327,4.639545953,-74.10818794,4.633700157
590,Engativa,Bogotá,Engativa,Bogotá,06:19:48,06:34:12,MOTO,Alguien,-74.09787973,4.675432396,-74.14363736,4.725077413
591,Engativa,Bogotá,Engativa,Bogotá,06:40:48,06:49:48,MOTO,Casa,-74.1230235,4.723327474,-74.08292943,4.687621042
592,Engativa,Bogotá,Chapinero,Bogotá,09:07:48,09:36:00,MOTO,Trabajo,-74.09292505,4.683062282,-74.02133079,4.626163859
593,Chapinero,Bogotá,Engativa,Bogotá,15:42:00,16:10:12,MOTO,Alguien,-74.03520553,4.634653509,-74.1438184,4.726257658
594,Engativa,Bogotá,Engativa,Bogotá,16:27:00,16:34:48,MOTO,Casa,-74.10505975,4.722729817,-74.12190845,4.732429636
595,Engativa,Bogotá,Engativa,Bogotá,06:19:48,06:34:48,MOTO,Estudio,-74.09356418,4.672162522,-74.10651157,4.677472217
596,Engativa,Bogotá,Engativa,Bogotá,15:45:00,16:30:00,MOTO,Casa,-74.09448783,4.690768416,-74.10359451,4.693133901
