,municipio_o,comuna_o,hora_o,municipio_d,comuna_d,hora_d,motivo_viaje,modo_tte,o_long,o_lat,d_long,d_lat
2277,Medellin,La Candelaria,07:30:00,Medellin,Laureles-Estadio,08:00:00,Trabajo,Moto (Conductor),-75.56662624,6.256279479,-75.59371361,6.240516231
2278,Medellin,Laureles-Estadio,18:00:00,Medellin,La Candelaria,18:30:00,Casa,Moto (Conductor),-75.59908613,6.241801262,-75.56729882,6.249450411
2279,Medellin,El Poblado,05:00:00,Medellin,Villa Hermosa,05:25:00,Trabajo,Moto (Conductor),-75.57539907,6.214478612,-75.55407345,6.252139802
2280,Medellin,Villa Hermosa,16:30:00,Medellin,El Poblado,16:50:00,Casa,Moto (Conductor),-75.54975773,6.251097275,-75.55913432,6.19204991
2281,Medellin,Villa Hermosa,05:50:00,Medellin,Aranjuez,05:55:00,Estudio,Moto (Conductor),-75.55443732,6.252531562,-75.55845778,6.27646741
2282,Medellin,Aranjuez,15:00:00,Medellin,Villa Hermosa,15:05:00,Casa,Moto (Conductor),-75.55753409,6.2783222,-75.55113252,6.259366443
2283,Medellin,El Poblado,05:30:00,Medellin,El Poblado,05:40:00,Recreacion,Moto (Conductor),-75.56852381,6.223676946,-75.55124776,6.211976461
2284,Medellin,El Poblado,05:45:00,Medellin,El Poblado,06:55:00,Casa,Moto (Conductor),-75.56385601,6.201508697,-75.56818686,6.181090299
2285,Medellin,El Poblado,07:10:00,Medellin,La America,07:30:00,Trabajo,Moto (Conductor),-75.56478316,6.178129248,-75.60641868,6.245683988
2286,Medellin,La America,17:30:00,Medellin,El Poblado,18:00:00,Otro,Moto (Conductor),-75.60619313,6.246008474,-75.56561874,6.18113073
2287,Medellin,El Poblado,22:00:00,Medellin,El Poblado,22:15:00,Casa,Moto (Conductor),-75.56997611,6.196733056,-75.55544579,6.205233715
2288,Medellin,Manrique,06:30:00,Medellin,La Candelaria,07:00:00,Alguien,Moto (Acompa?帶nte),-75.53899399,6.284995563,-75.5564167,6.250934979
2289,Medellin,La Candelaria,18:30:00,Medellin,Manrique,19:10:00,Casa,Moto (Acompa?帶nte),-75.5558685,6.248492286,-75.54915916,6.269069393
2290,Medellin,Villa Hermosa,05:50:00,Medellin,Guayabal,06:05:00,Trabajo,Moto (Conductor),-75.54595527,6.240866762,-75.58766881,6.200927684
2291,Medellin,Guayabal,21:00:00,Medellin,Villa Hermosa,21:15:00,Casa,Moto (Conductor),-75.58154987,6.215463398,-75.54773083,6.260388406
2292,Medellin,Villa Hermosa,07:00:00,Medellin,Doce de Octubre,07:20:00,Trabajo,Moto (Conductor),-75.54450783,6.259023189,-75.58118878,6.290206039
2293,Medellin,Doce de Octubre,16:00:00,Medellin,Villa Hermosa,16:30:00,Casa,Moto (Conductor),-75.58664614,6.293770156,-75.5526289,6.261198304
2294,Medellin,Villa Hermosa,06:30:00,Medellin,El Poblado,07:10:00,Trabajo,Moto (Conductor),-75.55892585,6.254568665,-75.56941063,6.204453369
2295,Medellin,El Poblado,17:30:00,Medellin,La Candelaria,18:00:00,Alguien,Moto (Conductor),-75.55888952,6.205738225,-75.57558599,6.249725953
2296,Medellin,Villa Hermosa,12:00:00,Medellin,La America,12:30:00,Estudio,Moto (Conductor),-75.55547055,6.245387104,-75.60394838,6.244859935
2297,Medellin,Villa Hermosa,15:00:00,Medellin,La Candelaria,15:20:00,Diligencia,Moto (Acompa?帶nte),-75.53891531,6.254693396,-75.56508636,6.26267062
2298,Medellin,Villa Hermosa,10:40:00,Medellin,La Candelaria,10:50:00,Alguien,Moto (Conductor),-75.54109876,6.252218568,-75.57724557,6.238978915
2299,Medellin,La Candelaria,10:55:00,Medellin,Villa Hermosa,11:05:00,Almuerzo,Moto (Conductor),-75.56592421,6.259406377,-75.54629599,6.250060085
2300,Medellin,Villa Hermosa,11:15:00,Medellin,Manrique,11:25:00,Recreacion,Moto (Conductor),-75.54205922,6.238091255,-75.55157363,6.26816632
2301,Medellin,Manrique,14:00:00,Medellin,La Candelaria,14:15:00,Compras,Moto (Conductor),-75.542916,6.279000642,-75.56458466,6.25104804
2302,Medellin,La Candelaria,14:45:00,Medellin,Villa Hermosa,15:00:00,Casa,Moto (Conductor),-75.56517177,6.259954152,-75.54864603,6.243047508
2303,Medellin,Villa Hermosa,06:30:00,Medellin,La Candelaria,07:00:00,Trabajo,Moto (Conductor),-75.54669301,6.252217604,-75.56646052,6.257602155
2304,Medellin,La Candelaria,17:00:00,Medellin,Villa Hermosa,18:00:00,Casa,Moto (Conductor),-75.56885983,6.253955761,-75.53411592,6.23726326
2305,Medellin,Villa Hermosa,05:30:00,Medellin,La Candelaria,05:50:00,Estudio,Moto (Conductor),-75.55291619,6.255543939,-75.56631751,6.251056728
2306,Medellin,La Candelaria,14:00:00,Medellin,Villa Hermosa,14:30:00,Casa,Moto (Conductor),-75.57541119,6.241852359,-75.54096453,6.256256265
2307,Medellin,Villa Hermosa,07:20:00,Medellin,Belen,08:00:00,Trabajo,Moto (Conductor),-75.54331134,6.259060403,-75.59569546,6.229644911
2308,Medellin,Belen,18:00:00,Medellin,Villa Hermosa,19:00:00,Casa,Moto (Conductor),-75.60671338,6.210729085,-75.53561316,6.248549162
2309,Medellin,Villa Hermosa,06:30:00,Medellin,Laureles-Estadio,07:00:00,Trabajo,Moto (Conductor),-75.54423797,6.240652349,-75.59808035,6.24561659
2310,Medellin,Laureles-Estadio,12:30:00,Medellin,Guayabal,13:30:00,Trabajo,Moto (Conductor),-75.59079009,6.243571195,-75.59065398,6.19454121
2311,Medellin,Guayabal,18:00:00,Medellin,Villa Hermosa,18:30:00,Diligencia,Moto (Conductor),-75.5848642,6.207301943,-75.54143679,6.235453161
2312,Medellin,Villa Hermosa,10:30:00,Medellin,Villa Hermosa,10:45:00,Diligencia,Moto (Conductor),-75.54976893,6.250233663,-75.53913213,6.24581096
2313,Medellin,Villa Hermosa,11:30:00,Medellin,Villa Hermosa,11:45:00,Almuerzo,Moto (Conductor),-75.55889695,6.255266507,-75.55147019,6.251148435
2314,Medellin,Villa Hermosa,13:30:00,Medellin,La Candelaria,13:45:00,Compras,Moto (Conductor),-75.54851887,6.246858643,-75.57553449,6.233882245
2315,Medellin,La Candelaria,14:15:00,Medellin,Buenos Aires,14:35:00,Diligencia,Moto (Conductor),-75.57205943,6.248355094,-75.54902144,6.231117176
2316,Medellin,Buenos Aires,14:50:00,Medellin,Villa Hermosa,15:25:00,Casa,Moto (Conductor),-75.55138634,6.216173365,-75.54084527,6.242249788
2317,Medellin,Villa Hermosa,06:00:00,Medellin,Aranjuez,06:15:00,Estudio,Moto (Conductor),-75.54502595,6.255867486,-75.56985887,6.268247547
2318,Medellin,Aranjuez,19:00:00,Medellin,Villa Hermosa,19:30:00,Casa,Moto (Conductor),-75.55587794,6.279355055,-75.55141351,6.243565628
2319,Medellin,Villa Hermosa,07:10:00,Medellin,Guayabal,07:50:00,Trabajo,Moto (Conductor),-75.54005192,6.253629072,-75.5852757,6.213298148
2320,Medellin,Guayabal,17:00:00,Medellin,Villa Hermosa,17:50:00,Casa,Moto (Conductor),-75.57958419,6.21911304,-75.52770536,6.235539101
2321,Medellin,Aranjuez,13:00:00,Medellin,Laureles-Estadio,13:15:00,Almuerzo,Moto (Conductor),-75.56771474,6.279291077,-75.58818703,6.258050065
2322,Medellin,Laureles-Estadio,14:20:00,Medellin,La Candelaria,14:30:00,Trabajo,Moto (Conductor),-75.59117615,6.242058571,-75.5654764,6.263603256
2323,Medellin,La Candelaria,08:00:00,Medellin,La Candelaria,08:30:00,Trabajo,Moto (Acompa?帶nte),-75.56040643,6.260676808,-75.57558343,6.250905755
2324,Medellin,La Candelaria,17:30:00,Medellin,La Candelaria,18:00:00,Casa,Moto (Acompa?帶nte),-75.56193874,6.25042689,-75.57411823,6.246430426
2325,Medellin,Villa Hermosa,17:30:00,Medellin,Castilla,17:55:00,Estudio,Moto (Conductor),-75.53035078,6.240257048,-75.56545332,6.292671239
2326,Medellin,Castilla,20:30:00,Medellin,Villa Hermosa,21:00:00,Estudio,Moto (Conductor),-75.57354295,6.274275129,-75.52513414,6.236807643
2327,Medellin,Villa Hermosa,03:30:00,Medellin,Castilla,04:00:00,Trabajo,Moto (Acompa?帶nte),-75.54352748,6.238954295,-75.56149462,6.301382769
2328,Medellin,Castilla,15:00:00,Medellin,Villa Hermosa,15:30:00,Casa,Moto (Acompa?帶nte),-75.56912743,6.28684603,-75.52901042,6.243990642
2329,Medellin,Villa Hermosa,12:00:00,Medellin,Villa Hermosa,12:10:00,Alguien,Moto (Conductor),-75.5459746,6.259103793,-75.54555089,6.244160345
2330,Medellin,Villa Hermosa,13:20:00,Medellin,Villa Hermosa,13:30:00,Casa,Moto (Conductor),-75.54062135,6.255164899,-75.552237,6.24410344
2331,Medellin,Villa Hermosa,08:00:00,Medellin,Corregimiento San Antonio de Prado,08:50:00,Trabajo,Moto (Conductor),-75.53030491,6.234594616,-75.6336608,6.185104216
2332,Medellin,Corregimiento San Antonio de Prado,18:00:00,Medellin,Villa Hermosa,19:30:00,Casa,Moto (Conductor),-75.68968438,6.222356535,-75.54344564,6.240746068
2333,Medellin,Villa Hermosa,13:30:00,Medellin,Belen,14:00:00,Trabajo,Moto (Conductor),-75.55238315,6.25734315,-75.58594471,6.239095877
2334,Medellin,Belen,20:00:00,Medellin,Villa Hermosa,20:30:00,Casa,Moto (Conductor),-75.6005413,6.215432878,-75.52567598,6.22998192
2335,Medellin,Villa Hermosa,07:30:00,Medellin,Robledo,08:00:00,Trabajo,Moto (Acompa?帶nte),-75.5383044,6.243245905,-75.59283424,6.278557031
2336,Medellin,Villa Hermosa,05:50:00,Medellin,Robledo,06:10:00,Estudio,Moto (Conductor),-75.53764318,6.24427318,-75.61973768,6.279673104
2337,Medellin,Robledo,07:30:00,Medellin,La Candelaria,08:00:00,Trabajo,Moto (Conductor),-75.59629932,6.282828904,-75.55945276,6.261812767
