ORIGIN_MUNICIPIO,ORIGIN_COMUNA,ORIGIN_TIME,o_lat,o_long,DESTINATION_MUNICIPIO,DESTINATION_COMUNA,DESTINATION_TIME,d_lat,d_long,TRANSPORT_MODE_S1,TRIP_PURPOSE
Medellin,Belen,10:00:00,6.209334516,-75.60166414,Itagui,Itagui-Comuna 04,10:20:00,6.197417246,-75.60242406,Moto (Conductor),Casa
Itagui,Itagui-Comuna 04,05:00:00,6.19104797,-75.60528823,Medellin,Belen,05:20:00,6.220926334,-75.60742819,Moto (Conductor),Trabajo
Medellin,Belen,06:00:00,6.235382644,-75.59912545,Itagui,Itagui-Comuna 04,07:00:00,6.176303483,-75.60131977,Moto (Conductor),Casa
Medellin,Corregimiento Altavista,07:00:00,6.239679662,-75.64539853,Medellin,Belen,07:40:00,6.210208209,-75.60024899,Moto (Conductor),Trabajo
Medellin,Belen,16:00:00,6.230882228,-75.59797126,Medellin,Corregimiento Altavista,16:40:00,6.225961769,-75.64107113,Moto (Conductor),Casa
Medellin,Corregimiento Altavista,07:00:00,6.253916201,-75.64676697,Medellin,Belen,07:10:00,6.235744252,-75.60709002,Moto (Acompa?±ante),Estudio
Medellin,San Javier,07:00:00,6.263215353,-75.60828654,Medellin,Laureles-Estadio,07:20:00,6.263779717,-75.58791918,Moto (Conductor),Trabajo
Medellin,Laureles-Estadio,17:30:00,6.244224378,-75.57934514,Medellin,San Javier,18:00:00,6.243139626,-75.62196357,Moto (Conductor),Casa
Medellin,San Javier,05:00:00,6.273222035,-75.60013371,Medellin,Guayabal,05:40:00,6.230153887,-75.57941965,Moto (Conductor),Trabajo
Medellin,Guayabal,18:00:00,6.203728302,-75.58674945,Medellin,San Javier,18:30:00,6.245689754,-75.62866454,Moto (Conductor),Casa
Itagui,Itagui-Comuna 04,05:40:00,6.189258237,-75.59129669,Itagui,Itagui-Comuna 01,05:55:00,6.169521287,-75.61183193,Moto (Conductor),Trabajo
Itagui,Itagui-Comuna 01,14:00:00,6.188064847,-75.60366243,Itagui,Itagui-Comuna 04,14:15:00,6.173801559,-75.60457578,Moto (Conductor),Casa
